id,host_id,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
750291,1806816,2012-02-25,"Istanbul, Turkey",within a few hours,100%,86%,f,7.0,12.0,"['email', 'phone']",t,t,Beyoglu,41.03691,28.97167,Private room in serviced apartment,Private room,1,1.5,1.5 shared baths,1.0,1.0,"[""Hangers"", ""Iron"", ""Host greets you"", ""Shampoo"", ""Heating"", ""Essentials"", ""Hot water"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Wifi"", ""Private entrance"", ""Refrigerator"", ""Hair dryer""]",480.0,100,300,100.0,100.0,300.0,300.0,100.0,300.0,t,30,60,90,365,2025-03-27,15,1,0,280,2,200,96000.0,2013-01-06,2024-04-27,4.71,4.4,4.36,4.73,4.86,4.53,4.53,,f,7,1,6,0,0.1
135956,666066,2011-06-05,"İstanbul, Turkey",within a few hours,100%,100%,t,8.0,38.0,"['email', 'phone']",t,t,Beyoglu,41.02984,28.97569,Private room in rental unit,Private room,1,1.0,1 shared bath,1.0,1.0,"[""Lockbox"", ""Fire extinguisher"", ""Cooking basics"", ""Stove"", ""TV with standard cable"", ""Free washer \u2013 In unit"", ""Dedicated workspace"", ""Hot water"", ""Dishes and silverware"", ""Self check-in"", ""Hangers"", ""Elevator"", ""Shampoo"", ""Heating"", ""Long term stays allowed"", ""Essentials"", ""Extra pillows and blankets"", ""Private entrance"", ""Luggage dropoff allowed"", ""Wifi \u2013 49 Mbps"", ""Smoking allowed"", ""Lock on bedroom door"", ""Dishwasher"", ""Hair dryer"", ""First aid kit"", ""Iron"", ""Paid parking off premises"", ""Kitchen"", ""Bed linens"", ""Ethernet connection"", ""Coffee maker"", ""Refrigerator""]",668.0,100,365,100.0,100.0,365.0,365.0,100.0,365.0,t,1,1,1,1,2025-03-29,43,1,0,0,1,200,133600.0,2011-09-18,2024-04-05,4.83,4.86,4.55,4.95,4.9,4.83,4.71,Exempt,f,8,4,4,0,0.26
191058,666066,2011-06-05,"İstanbul, Turkey",within a few hours,100%,100%,t,8.0,38.0,"['email', 'phone']",t,t,Beyoglu,41.0281,28.97585,Private room in rental unit,Private room,1,1.0,1 shared bath,1.0,1.0,"[""Lockbox"", ""Fire extinguisher"", ""Cooking basics"", ""Stove"", ""TV with standard cable"", ""Free washer \u2013 In unit"", ""Dedicated workspace"", ""Hot water"", ""Dishes and silverware"", ""Self check-in"", ""Hangers"", ""Elevator"", ""Cleaning available during stay"", ""Shampoo"", ""Heating"", ""Long term stays allowed"", ""Essentials"", ""Extra pillows and blankets"", ""Private entrance"", ""Luggage dropoff allowed"", ""Oven"", ""Portable fans"", ""Shared patio or balcony"", ""Smoking allowed"", ""Ceiling fan"", ""Lock on bedroom door"", ""Dishwasher"", ""Wifi \u2013 37 Mbps"", ""Hair dryer"", ""First aid kit"", ""Iron"", ""Paid parking off premises"", ""Kitchen"", ""Bed linens"", ""Ethernet connection"", ""Coffee maker"", ""Refrigerator""]",763.0,100,365,100.0,100.0,365.0,365.0,100.0,365.0,t,0,0,0,178,2025-03-28,38,0,0,92,0,0,0.0,2012-09-19,2023-08-31,4.84,4.94,4.69,4.92,4.89,4.94,4.81,,f,8,4,4,0,0.25
191069,666066,2011-06-05,"İstanbul, Turkey",within a few hours,100%,100%,t,8.0,38.0,"['email', 'phone']",t,t,Beyoglu,41.02797,28.97626,Private room in rental unit,Private room,1,1.0,1 shared bath,1.0,1.0,"[""Wifi \u2013 41 Mbps"", ""Lockbox"", ""Elevator"", ""Free washer \u2013 In unit"", ""TV with standard cable"", ""Bed linens"", ""Cooking basics"", ""First aid kit"", ""Dishwasher"", ""Long term stays allowed"", ""Self check-in"", ""Iron"", ""Stove"", ""Ethernet connection"", ""Dishes and silverware"", ""Kitchen"", ""Luggage dropoff allowed"", ""Paid parking off premises"", ""Lock on bedroom door"", ""Essentials"", ""Coffee maker"", ""Extra pillows and blankets"", ""Hair dryer"", ""Private entrance"", ""Hangers"", ""Heating"", ""Shampoo"", ""Fire extinguisher"", ""Hot water"", ""Smoking allowed"", ""Refrigerator""]",668.0,100,365,100.0,100.0,365.0,365.0,100.0,365.0,t,0,0,0,182,2025-04-01,31,0,0,92,0,0,0.0,2012-04-12,2023-08-11,4.71,4.73,4.37,5.0,4.79,4.8,4.63,Exempt,f,8,4,4,0,0.2
256825,1351134,2011-10-30,"İstanbul, Turkey",,,18%,f,5.0,19.0,"['email', 'phone']",t,f,Fatih,41.01234,28.94558,Private room in rental unit,Private room,3,0.5,Shared half-bath,1.0,2.0,"[""Free street parking"", ""Fire extinguisher"", ""Stove"", ""Hot water"", ""Dishes and silverware"", ""Hangers"", ""Heating"", ""Long term stays allowed"", ""Essentials"", ""Wifi"", ""Extra pillows and blankets"", ""Luggage dropoff allowed"", ""Oven"", ""TV"", ""Lock on bedroom door"", ""Iron"", ""Microwave"", ""Paid washer \u2013 In unit"", ""Paid parking off premises"", ""Kitchen"", ""Host greets you"", ""Bed linens"", ""Refrigerator""]",796.0,100,101,100.0,100.0,101.0,101.0,100.0,101.0,t,30,60,90,180,2025-03-27,244,0,0,180,0,0,0.0,2012-05-29,2023-08-08,4.6,4.57,4.46,4.82,4.86,4.55,4.59,,f,5,0,5,0,1.56
256838,1351134,2011-10-30,"İstanbul, Turkey",,,18%,f,5.0,19.0,"['email', 'phone']",t,f,Fatih,41.01178,28.94688,Private room in rental unit,Private room,3,1.5,1.5 shared baths,1.0,2.0,"[""Stove"", ""TV with standard cable"", ""Hot water"", ""Drying rack for clothing"", ""Dishes and silverware"", ""Hangers"", ""Safe"", ""Room-darkening shades"", ""Dining table"", ""Stainless steel double oven"", ""Heating"", ""Long term stays allowed"", ""Essentials"", ""Hot water kettle"", ""Blender"", ""Wifi"", ""Extra pillows and blankets"", ""Luggage dropoff allowed"", ""Ceiling fan"", ""Lock on bedroom door"", ""Freezer"", ""Iron"", ""Microwave"", ""Paid washer \u2013 In unit"", ""Paid parking off premises"", ""Kitchen"", ""Host greets you"", ""Bed linens"", ""Refrigerator""]",793.0,100,112,100.0,100.0,112.0,112.0,100.0,112.0,t,0,0,0,0,2025-03-28,58,0,0,0,0,0,0.0,2012-05-11,2023-11-25,4.68,4.63,4.51,4.68,4.84,4.74,4.54,,f,5,0,5,0,0.37
276621,1351134,2011-10-30,"İstanbul, Turkey",,,18%,f,5.0,19.0,"['email', 'phone']",t,f,Fatih,41.01143,28.94603,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,2.0,"[""Stove"", ""TV with standard cable"", ""Hot water"", ""Dishes and silverware"", ""Hangers"", ""Heating"", ""Long term stays allowed"", ""Essentials"", ""Wifi"", ""Extra pillows and blankets"", ""Luggage dropoff allowed"", ""Oven"", ""Portable fans"", ""Lock on bedroom door"", ""First aid kit"", ""Iron"", ""Microwave"", ""Paid washer \u2013 In unit"", ""Paid parking off premises"", ""Kitchen"", ""Host greets you"", ""Bed linens"", ""Refrigerator""]",836.0,100,300,100.0,100.0,300.0,300.0,100.0,300.0,t,30,60,90,180,2025-03-27,82,0,0,180,1,0,0.0,2012-05-25,2024-02-27,4.48,4.38,4.45,4.66,4.73,4.54,4.54,,f,5,0,5,0,0.52
937206,2781217,2012-06-29,"Istanbul, Turkey",within an hour,100%,100%,t,6.0,6.0,"['email', 'phone']",t,t,Beyoglu,41.03685,28.97702,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Hangers"", ""Iron"", ""Room-darkening shades"", ""Clothing storage: wardrobe"", ""Window AC unit"", ""Cooking basics"", ""Kitchen"", ""Bed linens"", ""Heating"", ""Dedicated workspace"", ""Essentials"", ""Hot water"", ""Dishes and silverware"", ""Wifi"", ""Extra pillows and blankets"", ""Hair dryer"", ""Paid dryer \u2013 In building""]",820.0,100,1125,100.0,100.0,1125.0,1125.0,100.0,1125.0,t,30,60,90,365,2025-03-28,55,0,0,279,0,0,0.0,2013-03-12,2023-11-03,4.22,4.36,4.24,4.62,4.69,3.96,4.31,,f,6,1,5,0,0.37
317428,85923,2010-02-26,"Istanbul, Turkey",,,0%,f,1.0,6.0,"['email', 'phone']",t,t,Beyoglu,41.032,28.98484,Private room in rental unit,Private room,1,1.0,1 shared bath,2.0,1.0,"[""Washer"", ""Cooking basics"", ""Kitchen"", ""TV"", ""Smoking allowed"", ""Heating"", ""Dishwasher"", ""Long term stays allowed"", ""Coffee maker"", ""Refrigerator"", ""Wifi"", ""Luggage dropoff allowed""]",871.0,100,1125,100.0,100.0,1125.0,1125.0,100.0,1125.0,t,0,0,0,0,2025-03-29,0,0,0,0,0,0,0.0,,,,,,,,,,,f,1,0,1,0,
422001,1806816,2012-02-25,"Istanbul, Turkey",within a few hours,100%,86%,f,7.0,12.0,"['email', 'phone']",t,t,Beyoglu,41.03489,28.97376,Private room in serviced apartment,Private room,1,1.5,1.5 shared baths,1.0,1.0,"[""Smoke alarm"", ""Hot water"", ""Hangers"", ""Cleaning products"", ""Shampoo"", ""Heating"", ""Long term stays allowed"", ""Essentials"", ""Hot water kettle"", ""Wifi"", ""Extra pillows and blankets"", ""Luggage dropoff allowed"", ""Conditioner"", ""Freezer"", ""Hair dryer"", ""First aid kit"", ""Iron"", ""Host greets you"", ""Bed linens"", ""Clothing storage: closet"", ""Refrigerator""]",636.0,100,300,100.0,100.0,300.0,300.0,100.0,300.0,t,30,60,90,365,2025-03-28,32,2,0,279,4,255,162180.0,2012-11-15,2024-07-13,4.31,4.22,4.25,4.59,4.38,4.66,4.38,,f,7,1,6,0,0.21
