id,host_id,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
97945,517685,2011-04-18,"Munich, Germany",,,0%,f,2.0,4.0,"['email', 'phone']",t,t,Hadern,48.11492,11.48954,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Window guards"", ""Luggage dropoff allowed"", ""Oven"", ""Patio or balcony"", ""Microwave"", ""Hangers"", ""Extra pillows and blankets"", ""Dishwasher"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Children\u2019s books and toys"", ""Essentials"", ""Toaster"", ""Bed linens"", ""Free street parking"", ""Stove"", ""Coffee maker"", ""Cleaning available during stay"", ""Host greets you"", ""Smoke alarm"", ""Hot water kettle"", ""Wine glasses"", ""Refrigerator"", ""Paid washer"", ""Heating"", ""Kitchen"", ""Hair dryer"", ""Room-darkening shades"", ""Dining table"", ""Paid dryer"", ""Wifi"", ""Hot water"", ""Cooking basics"", ""Shampoo"", ""Dishes and silverware"", ""Long term stays allowed"", ""Bathtub"", ""Private entrance""]",105.0,2,90,2.0,2.0,90.0,90.0,2.0,90.0,t,4,4,4,53,2025-06-26,126,0,0,5,0,0,0.0,2011-10-03,2019-10-03,4.84,4.89,4.81,4.9,4.93,4.78,4.73,f,2,2,0,0,0.75
114695,581737,2011-05-12,"Munich, Germany",within an hour,100%,97%,t,3.0,3.0,"['email', 'phone']",t,t,Berg am Laim,48.12071,11.63758,Entire rental unit,Entire home/apt,5,1.0,1 bath,1.0,1.0,"[""Luggage dropoff allowed"", ""Iron"", ""Oven"", ""Patio or balcony"", ""Microwave"", ""Hangers"", ""Extra pillows and blankets"", ""Washer"", ""Dishwasher"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Baking sheet"", ""Essentials"", ""Bed linens"", ""Free street parking"", ""Stove"", ""Coffee maker"", ""Smoke alarm"", ""Refrigerator"", ""Heating"", ""Kitchen"", ""Hair dryer"", ""Dedicated workspace"", ""Wifi"", ""Hot water"", ""Cooking basics"", ""Shampoo"", ""Dishes and silverware"", ""Private backyard \u2013 Fully fenced"", ""Dryer"", ""Free parking on premises""]",104.0,2,30,2.0,2.0,30.0,30.0,2.0,30.0,t,17,17,24,87,2025-06-26,79,10,0,34,12,60,6240.0,2011-07-08,2025-04-14,4.83,4.77,4.94,4.97,5.0,4.66,4.62,f,3,3,0,0,0.46
127383,630556,2011-05-26,"Munich, Germany",within a few hours,100%,86%,f,2.0,2.0,"['email', 'phone', 'work_email']",t,t,Maxvorstadt,48.15199,11.56482,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,1.0,"[""Pets allowed"", ""Luggage dropoff allowed"", ""Iron"", ""Oven"", ""Babysitter recommendations"", ""Hangers"", ""Extra pillows and blankets"", ""First aid kit"", ""Washer"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Essentials"", ""Bed linens"", ""Crib"", ""Elevator"", ""Stove"", ""Coffee maker"", ""Breakfast"", ""Smoke alarm"", ""Single level home"", ""Refrigerator"", ""Pack \u2019n play/Travel crib"", ""Heating"", ""Kitchen"", ""Hair dryer"", ""EV charger"", ""Private patio or balcony"", ""Fire extinguisher"", ""Wifi"", ""Hot water"", ""Cooking basics"", ""Shampoo"", ""Dishes and silverware"", ""Bathtub""]",160.0,3,20,2.0,6.0,20.0,20.0,3.1,20.0,t,6,9,9,19,2025-06-25,117,5,1,19,4,30,4800.0,2011-06-04,2025-06-15,4.84,4.91,4.81,4.98,4.96,4.91,4.81,f,1,1,0,0,0.68
170154,108297,2010-04-14,"Munich, Germany",within a day,100%,100%,t,1.0,1.0,"['email', 'phone']",t,t,Sendling-Westpark,48.10814,11.52733,Private room in home,Private room,4,1.0,1 shared bath,1.0,2.0,"[""Pets allowed"", ""Luggage dropoff allowed"", ""Iron"", ""Drying rack for clothing"", ""Clothing storage: wardrobe"", ""Lock on bedroom door"", ""Oven"", ""Patio or balcony"", ""Microwave"", ""Hangers"", ""Extra pillows and blankets"", ""Dishwasher"", ""Shower gel"", ""Essentials"", ""Toaster"", ""Bed linens"", ""Free street parking"", ""Paid washer \u2013 In unit"", ""Stove"", ""Coffee maker"", ""Breakfast"", ""Smoke alarm"", ""Hot water kettle"", ""Wine glasses"", ""Refrigerator"", ""TV"", ""Heating"", ""Kitchen"", ""Hair dryer"", ""Room-darkening shades"", ""Books and reading material"", ""Dining table"", ""Freezer"", ""Fire extinguisher"", ""Wifi"", ""Hot water"", ""Cooking basics"", ""Shampoo"", ""Body soap"", ""Dishes and silverware"", ""Free parking on premises"", ""Backyard""]",70.0,3,1125,1.0,3.0,1125.0,1125.0,3.0,1125.0,t,1,3,5,124,2025-06-25,584,25,1,27,27,150,10500.0,2011-09-25,2025-06-15,4.95,4.96,4.99,4.99,4.98,4.78,4.91,f,1,0,1,0,3.49
172977,825767,2011-07-16,"Munich, Germany",within a few hours,100%,77%,f,1.0,1.0,"['email', 'phone']",t,t,Maxvorstadt,48.14957,11.55507,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,"[""Luggage dropoff allowed"", ""Oven"", ""Paid parking off premises"", ""Hangers"", ""Dishwasher"", ""Essentials"", ""Bed linens"", ""HDTV with standard cable"", ""Stove"", ""Host greets you"", ""Smoke alarm"", ""Refrigerator"", ""Heating"", ""Kitchen"", ""Hair dryer"", ""Hot water"", ""Cooking basics"", ""Shampoo"", ""Body soap"", ""Dishes and silverware""]",105.0,2,7,2.0,2.0,7.0,7.0,2.0,7.0,t,25,53,79,159,2025-06-25,118,13,2,159,12,78,8190.0,2012-05-22,2025-06-05,4.82,4.89,4.89,4.89,4.89,4.8,4.76,f,1,0,1,0,0.74
189606,914691,2011-08-03,,within an hour,100%,83%,f,2.0,2.0,"['email', 'phone']",t,t,Au-Haidhausen,48.126277923583984,11.579534530639648,Entire rental unit,Entire home/apt,4,1.0,1 bath,0.0,2.0,"[""Iron"", ""Microwave"", ""Hangers"", ""Dishwasher"", ""Essentials"", ""Coffee maker"", ""Smoke alarm"", ""Hot water kettle"", ""Refrigerator"", ""TV"", ""Heating"", ""Shared beach access"", ""Kitchen"", ""Hair dryer"", ""Fire extinguisher"", ""Wifi"", ""Hot water"", ""Cooking basics"", ""Dishes and silverware""]",61.0,2,14,2.0,2.0,14.0,14.0,2.0,14.0,t,4,6,12,83,2025-06-26,273,25,1,83,25,150,9150.0,2011-10-08,2025-06-08,4.59,4.7,4.67,4.74,4.8,4.85,4.56,f,2,2,0,0,1.63
190383,919644,2011-08-04,"Munich, Germany",within a few hours,100%,96%,t,1.0,1.0,"['email', 'phone']",t,t,Berg am Laim,48.12424,11.63186,Private room in rental unit,Private room,1,1.0,1 shared bath,1.0,1.0,"[""Piano"", ""Luggage dropoff allowed"", ""Iron"", ""Hangers"", ""Extra pillows and blankets"", ""Washer"", ""Privileg stainless steel oven"", ""Shower gel"", ""Baking sheet"", ""Essentials"", ""Toaster"", ""Bed linens"", ""Portable fans"", ""Bosch refrigerator"", ""Free street parking"", ""Laundromat nearby"", ""Cleaning available during stay"", ""Smoke alarm"", ""Hot water kettle"", ""Wine glasses"", ""L'Oreal conditioner"", ""Clothing storage: wardrobe and dresser"", ""Heating"", ""Kitchen"", ""Hair dryer"", ""Privileg stainless steel stove"", ""Dedicated workspace"", ""Coffee"", ""Cleaning products"", ""Private patio or balcony"", ""Dining table"", ""Freezer"", ""Wifi"", ""L'Oreal shampoo"", ""Hot water"", ""Cooking basics"", ""Dishes and silverware"", ""Body soap"", ""Long term stays allowed"", ""Bathtub""]",31.0,2,730,1.0,2.0,730.0,730.0,2.0,730.0,t,3,6,9,85,2025-06-26,268,31,5,36,48,186,5766.0,2012-03-23,2025-06-22,4.93,4.94,4.98,4.96,4.95,4.84,4.94,f,1,0,1,0,1.66
190653,919917,2011-08-04,"Munich, Germany",within a few hours,100%,84%,f,2.0,16.0,"['email', 'phone']",t,t,Ludwigsvorstadt-Isarvorstadt,48.12951,11.56103,Entire rental unit,Entire home/apt,2,,,1.0,1.0,"[""Essentials"", ""Wifi"", ""Kitchen"", ""Smoke alarm"", ""TV""]",86.0,2,730,2.0,2.0,730.0,730.0,2.0,730.0,t,18,44,62,276,2025-06-26,242,14,2,100,17,84,7224.0,2012-04-14,2025-06-09,4.71,4.8,4.71,4.74,4.81,4.87,4.59,f,2,2,0,0,1.51
192933,934964,2011-08-07,"Munich, Germany",within a few hours,100%,100%,t,1.0,1.0,"['email', 'phone']",t,t,Ludwigsvorstadt-Isarvorstadt,48.1295,11.56788,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,2.0,"[""Pets allowed"", ""Oven"", ""Drying rack for clothing"", ""Microwave"", ""Paid parking off premises"", ""Hangers"", ""First aid kit"", ""Dishwasher"", ""Essentials"", ""Toaster"", ""Bed linens"", ""Stove"", ""Coffee maker"", ""Host greets you"", ""Smoke alarm"", ""Hot water kettle"", ""Refrigerator"", ""Heating"", ""Kitchen"", ""Smoking allowed"", ""Hair dryer"", ""Room-darkening shades"", ""Fire extinguisher"", ""Wifi"", ""Hot water"", ""Cooking basics"", ""Dishes and silverware"", ""Courtyard view""]",114.0,3,24,2.0,3.0,24.0,24.0,3.0,24.0,t,17,33,50,114,2025-06-25,105,10,2,114,12,60,6840.0,2011-09-27,2025-06-12,4.8,4.81,4.67,4.95,4.96,4.91,4.72,f,1,1,0,0,0.63
193463,938552,2011-08-08,"Munich, Germany",within an hour,100%,96%,f,2.0,2.0,"['email', 'phone']",t,t,Maxvorstadt,48.155906677246094,11.572439193725586,Private room in rental unit,Private room,1,1.0,1 shared bath,1.0,1.0,"[""Iron"", ""Clothing storage: wardrobe"", ""Lock on bedroom door"", ""Paid street parking off premises"", ""Hangers"", ""Extra pillows and blankets"", ""First aid kit"", ""Dishwasher"", ""Carbon monoxide alarm"", ""Shower gel"", ""Essentials"", ""Bed linens"", ""Host greets you"", ""Laundromat nearby"", ""Cleaning available during stay"", ""Central heating"", ""Smoke alarm"", ""Hot water kettle"", ""Single level home"", ""22 inch TV with standard cable"", ""Hair dryer"", ""Dedicated workspace"", ""Room-darkening shades"", ""Books and reading material"", ""Coffee"", ""Cleaning products"", ""Wifi"", ""Hot water"", ""Shampoo"", ""Body soap"", ""Dishes and silverware"", ""Zur Mitbenutzung refrigerator""]",64.0,3,7,2.0,3.0,7.0,7.0,3.0,7.0,t,8,38,59,188,2025-06-25,247,20,1,112,27,120,7680.0,2012-05-01,2025-06-01,4.78,4.91,4.96,4.93,4.85,4.93,4.79,f,2,0,2,0,1.54
